기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20260409135500,81737.6,73752.7,72700.0,7985.0,10.8267,8471.4,11.308
20260409140000,81718.6,73788.6,72700.0,7930.0,10.7469,8436.99,11.2569
20260409140500,81751.2,73681.2,72700.0,8069.99,10.9526,8538.97,11.4086
20260409141000,81778.6,73476.8,72700.0,8301.82,11.2986,8772.0,11.7489
20260409141500,81754.6,73499.4,72700.0,8255.17,11.2316,8849.82,11.8525
20260409142000,81760.4,73916.3,72700.0,7844.09,10.6121,8568.44,11.4117
20260409142500,81754.6,73965.6,72700.0,7788.96,10.5305,8492.17,11.3024
20260409143000,81749.4,73840.8,72700.0,7908.68,10.7105,8557.26,11.4079
20260409143500,81666.7,73899.6,72700.0,7767.07,10.5103,8531.19,11.3603
20260409144000,81611.2,73854.1,72700.0,7757.03,10.5032,8636.4,11.507
20260409144500,81525.8,73634.4,72700.0,7891.44,10.7171,8859.33,11.84
20260409145000,81535.4,73227.6,72700.0,8307.79,11.3452,9343.71,12.5554
20260409145500,81547.6,73259.1,72700.0,8288.47,11.3139,9360.58,12.5726
20260409150000,81567.2,73090.7,72700.0,8476.5,11.5972,9687.59,13.0447
20260409150500,81012.5,72813.7,72700.0,8198.79,11.2599,9189.7,12.4215
20260409151000,80798.8,72814.5,72700.0,7984.31,10.9653,9333.36,12.6152
20260409151500,80557.3,73158.3,72700.0,7398.99,10.1137,8762.63,11.7892
20260409152000,80552.6,73146.2,72700.0,7406.32,10.1254,8705.62,11.7144
20260409152500,80754.7,73551.6,72700.0,7203.1,9.79325,8460.68,11.3227
20260409153000,80596.5,73024.8,72700.0,7571.78,10.3688,8848.09,11.9252
20260409153500,80582.9,73094.9,72700.0,7487.97,10.2442,8756.16,11.7905
20260409154000,80599.0,73026.3,72700.0,7572.72,10.3699,8846.0,11.9224
20260409154500,80586.9,73143.6,72700.0,7443.29,10.1763,8679.31,11.6792
20260409155000,80571.7,73172.8,72700.0,7398.9,10.1115,8614.33,11.5876
20260409155500,80597.9,73042.7,72700.0,7555.21,10.3436,8782.21,11.8343
20260409160000,80575.2,73124.5,72700.0,7450.75,10.1891,8721.24,11.739
20260409160500,80268.9,72759.0,72700.0,7509.83,10.3215,8884.01,12.0172
20260409161000,79753.9,72826.4,72700.0,6927.6,9.51248,8480.73,11.4611
20260409161500,79768.2,72802.0,72700.0,6966.18,9.56867,8405.93,11.3616
20260409162000,79829.7,73212.7,72700.0,6616.97,9.038,8187.97,11.0088
20260409162500,79837.9,72940.2,72700.0,6897.64,9.45656,8319.67,11.2264
20260409163000,79837.2,72755.9,72700.0,7081.33,9.733,8498.26,11.4955
20260409163500,79796.6,72701.2,72700.0,7095.45,9.75975,8483.04,11.4842
20260409164000,79762.5,72846.7,72700.0,6915.89,9.49376,8213.64,11.0974
20260409164500,79743.8,72818.1,72700.0,6925.68,9.51093,8229.29,11.1234
20260409165000,79709.1,72494.5,72700.0,7214.64,9.95198,8488.85,11.5246
20260409165500,79653.4,72193.0,72700.0,7460.32,10.3338,8753.14,11.9308
20260409170000,79621.2,71892.3,72700.0,7728.94,10.7507,9016.08,12.3372
20260409170500,79656.9,71569.8,72700.0,8087.08,11.2996,9321.99,12.8161
20260409171000,79664.0,71422.2,72700.0,8241.86,11.5396,9266.88,12.7662
20260409171500,79847.9,71488.9,72700.0,8358.95,11.6926,9541.59,13.1308
20260409172000,79843.9,71171.1,72700.0,8672.78,12.1858,9700.49,13.4107
20260409172500,79825.1,71254.8,72700.0,8570.34,12.0277,9535.43,13.1663
20260409173000,79845.1,71246.7,72700.0,8598.38,12.0685,9588.1,13.2402
20260409173500,79817.2,71370.7,72700.0,8446.46,11.8346,9803.16,13.5149
20260409174000,79785.6,71300.7,72700.0,8484.95,11.9002,9403.81,12.9774
20260409174500,79736.9,71040.4,72700.0,8696.54,12.2417,9677.92,13.4041
20260409175000,79746.5,70914.7,72700.0,8831.82,12.4541,9828.02,13.6359
20260409175500,79674.0,70812.5,72700.0,8861.53,12.5141,9826.79,13.6487
20260409180000,79677.0,70788.5,72700.0,8888.49,12.5564,9789.6,13.6012
20260409180500,79629.3,70493.6,72700.0,9135.72,12.9596,9861.05,13.7517
20260409181000,79658.5,70567.9,72700.0,9090.58,12.882,10141.3,14.1228
20260409181500,79666.3,70820.0,72700.0,8846.29,12.4912,10172.6,14.1172
20260409182000,79639.7,70764.6,72700.0,8875.1,12.5417,10235.6,14.2152
20260409182500,79638.0,70887.2,72700.0,8750.81,12.3447,10126.1,14.0369
20260409183000,79649.5,70559.3,72700.0,9090.17,12.883,10421.2,14.5113
20260409183500,79562.2,70582.3,72700.0,8979.91,12.7226,10293.9,14.331
20260409184000,79562.2,70672.5,72700.0,8889.76,12.5788,10199.4,14.1811
20260409184500,79526.0,70661.3,72700.0,8864.69,12.5453,10108.3,14.0568
20260409185000,79519.3,70342.3,72700.0,9177.04,13.0463,10386.0,14.5075
20260409185500,79489.9,70495.8,72700.0,8994.14,12.7584,10208.5,14.2268
20260409190000,79487.0,70523.1,72700.0,8963.97,12.7107,10134.4,14.118
20260409190500,79434.6,70528.9,72700.0,8905.73,12.6271,10117.2,14.0939
20260409191000,79400.0,70734.8,72700.0,8665.2,12.2503,9766.79,13.5678
20260409191500,79387.2,70482.7,72700.0,8904.49,12.6336,9954.87,13.878
20260409192000,79376.5,70544.3,72700.0,8832.26,12.5202,9655.12,13.4478
20260409192500,79355.5,70040.1,72700.0,9315.48,13.3002,10087.8,14.1498
20260409193500,79320.1,69677.2,72700.0,9642.93,13.8394,10135.9,14.2891
20260409194000,79311.6,69557.0,72700.0,9754.61,14.0239,10214.2,14.424
20260409194500,79286.1,69771.3,72700.0,9514.75,13.6371,10006.4,14.0876
20260409195000,79283.5,69400.8,72700.0,9882.62,14.2399,10403.1,14.7229
20260409195500,79240.5,69094.2,72700.0,10146.2,14.6846,10789.8,15.3365
20260409200000,79247.9,68868.8,72700.0,10379.1,15.0709,11025.5,15.7198
20260409200500,79218.0,68766.7,72700.0,10451.3,15.1983,11156.1,15.9285
20260409201000,79243.0,68725.3,72700.0,10517.6,15.3039,11288.0,16.1262
20260409201500,79232.5,68430.9,72700.0,10801.7,15.7848,11637.0,16.6956
20260409202000,79234.8,68329.4,72700.0,10905.4,15.9601,11689.5,16.7951
20260409202500,79257.0,68101.8,72700.0,11155.1,16.3801,12014.7,17.3201
20260409203000,79255.6,68146.8,72700.0,11108.8,16.3013,11950.4,17.2162
20260409203500,79313.7,67972.6,72700.0,11341.1,16.6848,12159.4,17.5602
20260409204000,79318.5,67896.7,72700.0,11421.8,16.8223,12357.2,17.8657
20260409204500,79282.4,67483.6,72700.0,11798.8,17.4839,12693.3,18.4633
20260409205000,79271.7,67066.4,72700.0,12205.3,18.1989,12992.6,19.0139
20260409205500,79274.0,66761.2,72700.0,12512.8,18.7426,13317.6,19.5773
20260409210000,79269.1,66720.0,72700.0,12549.2,18.8087,13261.4,19.5061
20260409210500,79227.4,66248.8,72700.0,12978.7,19.5908,13626.3,20.1831
20260409211000,79187.8,66266.4,72700.0,12921.4,19.4992,13535.7,20.044
20260409211500,79169.3,66221.2,72700.0,12948.0,19.5527,13517.3,20.0315
20260409212000,79185.5,66185.8,72700.0,12999.7,19.6413,13504.8,20.0222
20260409212500,79189.0,65778.9,72700.0,13410.1,20.3866,13684.4,20.4138
20260409213000,79184.3,65747.1,72700.0,13437.2,20.4378,13698.0,20.4438
20260409213500,79195.5,65580.3,72700.0,13615.2,20.7611,13322.9,19.9332
20260409214000,79196.2,65502.6,72700.0,13693.6,20.9054,13212.5,19.791
20260409214500,79176.5,65361.5,72700.0,13815.0,21.1364,12965.1,19.4632
20260409215000,79166.3,64960.6,72700.0,14205.7,21.8682,13235.7,19.989
20260409215500,79181.5,64434.4,72700.0,14747.2,22.8871,13308.0,20.2608
20260409220000,79168.1,64699.6,72700.0,14468.6,22.3627,12417.0,18.8275
20260409220500,79179.9,65650.0,72700.0,13529.9,20.6091,11666.5,17.4387
20260409221000,79150.9,65615.1,72700.0,13535.8,20.6291,11615.9,17.3719
20260409221500,79164.7,65778.7,72700.0,13386.0,20.3501,11286.1,16.8385
20260409222000,79144.8,65204.8,72700.0,13940.0,21.3788,11877.7,17.8746
20260409222500,79117.4,65012.6,72700.0,14104.8,21.6955,12004.2,18.1178
20260409223000,79119.6,65094.7,72700.0,14024.9,21.5454,11816.0,17.8113
20260409223500,79101.3,64629.3,72700.0,14472.0,22.3923,12282.9,18.6424
20260409224000,79079.1,64478.9,72700.0,14600.1,22.6432,12140.6,18.4718
20260409224500,79063.5,64333.0,72700.0,14730.5,22.8972,12335.2,18.8113
20260409225000,79070.6,64205.4,72700.0,14865.3,23.1527,11986.4,18.3142
20260409225500,79046.7,64059.4,72700.0,14987.3,23.3959,12101.0,18.5308
20260409230000,79071.6,64016.0,72700.0,15055.6,23.5185,12026.3,18.4279
20260409230500,79229.9,64420.7,72700.0,14809.2,22.9882,11795.3,17.9621
20260409231000,79252.1,64182.2,72700.0,15069.8,23.4798,12061.1,18.4338
20260409231500,79253.8,63985.8,72700.0,15268.0,23.8616,12182.4,18.6759
20260409232000,79259.2,63820.8,72700.0,15438.3,24.1901,12104.3,18.6024
20260409232500,79307.7,63496.6,72700.0,15811.1,24.9008,12512.3,19.3267
20260409233000,79303.4,63263.3,72700.0,16040.0,25.3544,12608.7,19.5461
20260409233500,79297.9,62949.6,72700.0,16348.2,25.9704,12619.2,19.6591
20260409234000,79293.5,62280.5,72700.0,17013.0,27.3167,13008.2,20.4725
20260409234500,79318.4,62192.9,72700.0,17125.5,27.5361,13148.0,20.7291
20260409235000,79327.0,61859.0,72700.0,17468.0,28.2384,12623.9,20.0081
20260409235500,79347.1,61523.0,72700.0,17824.1,28.9714,12269.9,19.5535
20260410000000,79340.9,61111.7,68700.0,18229.2,29.8294,12121.5,19.4443
20260410000500,79228.1,60769.7,68700.0,18458.3,30.3742,12511.9,20.1799
20260410001000,79200.5,60314.4,68700.0,18886.1,31.3128,12896.6,20.9545
20260410001500,79195.7,60142.9,68700.0,19052.8,31.6793,12459.6,20.3019
20260410002000,79183.4,59720.6,68700.0,19462.9,32.5899,12196.1,20.0111
20260410002500,79180.5,59429.6,68700.0,19750.9,33.2342,11898.2,19.6181
20260410003000,79177.9,59493.2,68700.0,19684.7,33.0874,11244.8,18.5214
20260410003500,79167.9,59196.0,68700.0,19971.9,33.7387,11159.2,18.4711
20260410004000,79166.5,58490.6,68700.0,20675.9,35.3492,11818.9,19.7948
20260410004500,79170.8,58540.2,68700.0,20630.6,35.2418,11822.6,19.7849
20260410005000,79186.3,58543.9,68700.0,20642.3,35.2596,11715.1,19.6033
20260410005500,79205.2,58309.7,68700.0,20895.4,35.8353,11588.2,19.4659
20260410010000,79215.2,58255.1,68700.0,20960.1,35.9799,11556.2,19.4299
20260410010500,79245.9,58195.5,68700.0,21050.4,36.1718,11617.2,19.5527
20260410011000,79250.9,58078.8,68700.0,21172.2,36.4543,11700.9,19.7319
20260410011500,79232.1,57842.9,68700.0,21389.2,36.9782,11911.7,20.1683
20260410012000,79232.0,57523.6,68700.0,21708.4,37.7382,12163.1,20.7061
20260410012500,79227.5,57230.2,68700.0,21997.2,38.4364,11919.8,20.3935
20260410013000,79226.9,56991.5,68700.0,22235.4,39.0153,11886.6,20.4199
20260410013500,79224.2,56890.8,68700.0,22333.4,39.2565,12017.6,20.6803
20260410014000,79220.8,56932.5,68700.0,22288.2,39.1485,11976.5,20.5951
20260410014500,79180.2,56558.2,68700.0,22622.0,39.9976,12317.8,21.3191
20260410015000,79174.2,56510.0,68700.0,22664.2,40.1066,12328.5,21.3561
20260410015500,79220.5,56580.2,68700.0,22640.3,40.0145,12192.2,21.0939
20260410020000,79209.2,56358.3,68700.0,22850.9,40.5458,12283.2,21.3227
20260410020500,79295.4,56585.2,68700.0,22710.2,40.1346,12075.5,20.8796
20260410021000,79280.7,56231.5,68700.0,23049.2,40.9899,12417.2,21.6029
20260410021500,79293.4,56249.1,68700.0,23044.3,40.9684,12463.6,21.6743
20260410022000,79598.0,55802.7,68700.0,23795.3,42.6419,13174.7,23.0907
20260410022500,79324.2,55629.5,68700.0,23694.7,42.5937,13092.6,23.0054
20260410023000,79325.0,55722.3,68700.0,23602.7,42.3578,12882.5,22.5278
20260410023500,80257.2,55862.0,68700.0,24395.2,43.6704,13094.3,22.8425
20260410024000,80242.4,55670.2,68700.0,24572.3,44.139,13235.4,23.166
20260410024500,80217.2,55732.1,68700.0,24485.2,43.9337,13285.7,23.2298
20260410025000,80221.8,55572.8,68700.0,24648.9,44.3543,13578.1,23.8067
20260410025500,80227.6,55557.0,68700.0,24670.6,44.406,13688.5,24.0083
20260410030000,80236.4,55422.0,68700.0,24814.4,44.7735,14005.4,24.6332
20260410030500,80264.3,55485.6,68700.0,24778.7,44.6579,13729.3,24.1216
20260410031000,80262.3,55415.2,68700.0,24847.1,44.8382,13799.8,24.2754
20260410031500,80229.6,55164.0,68700.0,25065.7,45.4384,13994.2,24.7246
20260410032000,80245.8,55504.8,68700.0,24741.0,44.5745,13663.6,23.9956
20260410032500,80248.6,55514.8,68700.0,24733.8,44.5534,13700.7,24.0528
20260410033000,80261.4,55371.4,68700.0,24890.0,44.951,13479.3,23.6161
20260410033500,80285.4,55292.8,68700.0,24992.5,45.2003,13235.3,23.0875
20260410034000,80302.8,55426.4,68700.0,24876.4,44.882,13127.5,22.8412
20260410034500,80303.5,55441.6,68700.0,24861.9,44.8433,12807.3,22.1481
20260410035000,80313.0,55204.4,68700.0,25108.5,45.4828,12806.6,22.1372
20260410035500,80323.7,55552.6,68700.0,24771.2,44.5905,12418.0,21.3391
20260410040000,80312.6,55633.2,68700.0,24679.4,44.361,12380.1,21.2468
20260410040500,80347.7,55477.7,68700.0,24870.0,44.8288,12654.1,21.7755
20260410041000,80348.7,55465.9,68700.0,24882.8,44.8613,12737.2,21.9236
